rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
1;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33035-2026;FINSPÅNG;Fristen löper;Mycket hög;127.2;2026-08-10;15;2031-08-09;8.3;8.24880048954766;Avverkning för att bevara och utveckla /försöksver;Ädellövskog;FALSE;TRUE;"nyckelbiotop överlappar; hög skoglig naturvärdessannolikhet (HCVF 88); ädellövskog 70 %; hög skog >= 20 m på 95 %";0;0;0;0;12;17;0.969043631820515;87.8;0.705;0.951;4564;Prästängsuddens lövskog;4564;Prästängsuddens lövskog;"Alleniella complanata (platt fjädermossa, LC, 2022); Anomodon viticulosus (grov baronmossa, LC, 2022); Antitrichia curtipendula (fällmossa, LC, 2022); Bacidia rubella (lönnlav, LC, 2022); Homalia trichomanoides (trubbfjädermossa, LC, 2022); Homalothecium sericeum (guldlockmossa, LC, 2022); Leucobryum glaucum (blåmossa, LC, 2022); Lopadium disciforme (barkkornlav, LC, 2022); Carbonicola anthracophila (kolflarnlav, NT, 2022); Lecanographa amylacea (gammelekslav, NT, 2022); Peltigera collina (grynig filtlav, NT, 2022); Rostania occultata (skorpgelélav, NT, 2022)";"Acolium inquinans (sotlav, LC, 2022); Biatoridium monasteriense (klosterlav, VU, 2022)";556274;6532802;15.97756;58.93119
2;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32488-2026;MOTALA;Brådskande: fristen går ut inom 14 dagar;Mycket hög;106.5;2026-08-05;10;2031-08-04;2;2.46661652500047;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 94 %";0;1;1;1;4;5;0;21.1;0;0.945;3861;Kristberg;3332;Lustigkulle domänreservat;"Lycopodium annotinum (revlummer, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Cacotemnus thomsoni (thomsons trägnagare, LC, 2026)";Tomicus minor (mindre märgborre, LC, 2026);509668;6496386;15.16639;58.60773
3;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36146-2026;LINKÖPING;Fristen löper;Mycket hög;99.6;2026-08-30;35;2031-08-29;2.5;2.641225845647;Föryngringsavverkning;Normal skog;TRUE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 58 %";0;0;6;1;7;18;0;50.3;0.003;0.578;1285;Lunderna;5032;Ytterby;"Cygnus cygnus (sångsvan, LC, prio. fågel, 2012); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2016); Lanius collurio (törnskata, LC, prio. fågel, 2015); Lullula arborea (trädlärka, LC, prio. fågel, 2012); Dryobates minor (mindre hackspett, NT, prio. fågel, 2010); Motacilla alba (sädesärla, NT, prio. fågel, 2015); Vanellus vanellus (tofsvipa, VU, 2016)";"Lucanus cervus (ekoxe, LC, fridlyst, 2026); Selinum carvifolia (krusfrö, NT, 2022); Serratula tinctoria (ängsskära, NT, 2022); Seseli libanotis (säfferot, NT, 2022)";551728;6471517;15.88457;58.38143
4;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32813-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Hög;77.7;2026-08-07;12;2031-08-06;5.7;5.73972959926427;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 90 %";0;0;0;0;0;16;0.000817109066032795;73.5;0;0.895;3774;Bråviken arkipelag;4059;Södra Lunda;"";"Lucanus cervus (ekoxe, LC, fridlyst, 2020); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2020); Somateria mollissima (ejder, EN, 2016); Leucobryum glaucum (blåmossa, LC, 2013); Phaeolus schweinitzii (grovticka, LC, 2013); Haematopus ostralegus (strandskata, NT, 2016); Hydroprogne caspia (skräntärna, NT, 2020); Phellodon melaleucus (svartvit taggsvamp, NT, 2013); Sarcodon squamosus (motaggsvamp, NT, 2013); Coronella austriaca (hasselsnok, VU, 2020)";612452;6483208;16.92821;58.475
5;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 35032-2026;SÖDERKÖPING;Fristen löper;Hög;76.1;2026-08-25;30;2031-08-24;7;7.05037499999031;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hög skog >= 20 m på 96 %";0;0;1;0;4;13;0;29.2;0;0.956;5371;Össby lindäng;6625;Ramunderberget;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Helodium blandowii (kärrkammossa, LC, 2026); Leucobryum glaucum (blåmossa, LC, 2026)";"Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Motacilla alba (sädesärla, NT, prio. fågel, 2026); Tomicus minor (mindre märgborre, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2026)";571741;6478959;16.22904;58.44543
6;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 33177-2026;VALDEMARSVIK;Fristen löper;Hög;64.6;2026-08-11;16;2031-08-10;4.6;4.61086804675395;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skoglig naturvärdessannolikhet (HCVF 71); hög skog >= 20 m på 98 %";0;0;0;0;0;14;0;71;0;0.976;6854;Hägerstad;3265;Skrickerum;"";"Vicia pisiformis (ärtvicker, EN, fridlyst, 2026); Hypericum montanum (bergjohannesört, NT, 2024)";585856;6443622;16.45767;58.12561
7;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 36576-2026;LINKÖPING;Fristen löper;Hög;61.4;2026-09-04;40;2031-09-03;1.4;1.43197471000242;Avverkning för att bevara och utveckla /försöksver;Normal skog;TRUE;TRUE;"hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 75 %";0;0;0;1;8;16;0;37.5;0.07;0.753;1790;Ullebergsskogen;1779;Ullebergsskogen;"Acolium inquinans (sotlav, LC, 2015); Alleniella complanata (platt fjädermossa, LC, 2015); Antitrichia curtipendula (fällmossa, LC, 2015); Homalothecium sericeum (guldlockmossa, LC, 2015); Lopadium disciforme (barkkornlav, LC, 2015); Porella platyphylla (trädporella, LC, 2015); Fistulina hepatica (oxtungssvamp, NT, 2015); Sclerophora pallida (gulvit blekspik, VU, 2015)";"";518341;6442825;15.31138;58.1264
8;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 32573-2026;MJÖLBY;Brådskande: fristen går ut inom 14 dagar;Hög;58.6;2026-08-05;10;2031-08-04;6.6;6.61811494500004;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 98 %";0;0;0;0;1;7;0;36.8;0;0.979;2707;Ullebergsskogen;2700;Ullebergsskogen;Lobaria pulmonaria (lunglav, NT, 2019);"Epipactis atrorubens (purpurknipprot, LC, fridlyst, 2019); Vipera berus (huggorm, LC, fridlyst, 2025); Poecile montanus (talltita, NT, prio. fågel, 2025); Trifolium aureum (gullklöver, NT, 2024)";516243;6443917;15.27585;58.13629
9;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 31892-2026;NORRKÖPING;Brådskande: fristen går ut inom 14 dagar;Hög;54.9;2026-07-28;2;2031-07-27;2.2;2.94136434499868;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 83); hög skog >= 20 m på 70 %";0;0;0;0;1;10;0;83;0;0.7;5588;Magnehults domänreservat;5506;Magnehults domänreservat;Phellinidium ferrugineofuscum (ullticka, NT, 2020);"Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2024); Hepatica nobilis (blåsippa, LC, fridlyst, 2024); Lycopodium clavatum (mattlummer, LC, fridlyst, 2024); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2021); Actitis hypoleucos (drillsnäppa, NT, prio. fågel, 2025); Hertelidea botryosa (vedskivlav, NT, 2024); Hydnellum ferrugineum (dropptaggsvamp, NT, 2020)";564915;6517423;16.12316;58.79188
10;1;Skicka begäran om tillsyn till Skogsstyrelsen NU (fristen löper);A 35080-2026;KINDA;Fristen löper;Hög;53.8;2026-08-26;31;2031-08-25;8.8;8.7507895298359;Avverkning för annat ändamål;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 72); ädellövskog 65 %; hög skog >= 20 m på 74 %";0;0;0;0;0;2;0.00639459753430877;72;0.65;0.737;3842;Ryda;3842;Ryda;"";"";548575;6427304;15.82145;57.98472
